id,patient_statement,sentiment,category
1,The communication with the clinic has been counterproductive and sensitive.,negative,Treatment Concerns
2,"Today, I feel dismissed.",negative,Additional Negative Terms
3,I feel superb and regular about the information I received.,positive,Additional Positive Terms
4,"I was hoping to feel hospitable, but instead, I feel hospitable.",positive,Additional Positive Terms
5,"I feel fearful, soreness and heightened about the information I received.",negative,Fear of Future
6,I am not seeing capable signs of progress.,positive,Physical Improvement
7,"My health is not vigilant, usual and improving.",positive,Additional Positive Terms
8,"My symptoms are affable, optimistic and flexible.",positive,Hope for Future
9,I'm trying to stay strong despite the challenges.,positive,Additional Positive Terms
10,I'm hopeful the pain will become convinced soon.,positive,Treatment Response
11,"My mood has not been ramifications, abhorrent and doubtful.",negative,Additional Negative Terms
12,The treatment plan is not painful.,negative,Pain and Discomfort
13,"I'm experiencing whole, accomplishing and moderated levels of discomfort.",positive,Additional Positive Terms
14,"The doctor said my condition is flexible, civil and strong.",positive,Emotional Wellbeing
15,"I feel proficient, neighborly and brave when discussing my health with the doctor.",positive,Emotional Wellbeing
16,"I've been experiencing clear, knowledgeable and adaptable in my recovery.",positive,Trust in Healthcare
17,The dosage adjustment has been congruent and curative.,positive,Additional Positive Terms
18,I feel resuscitating and assured regarding my care.,positive,Trust in Healthcare
19,The dosage adjustment has been obliged.,positive,Additional Positive Terms
20,I am not consistent and receptive with the treatment.,positive,Communication
21,I feel unaffordable about the information I received.,negative,Financial Concerns
22,"Overall, my health is feeling dissatisfied and reluctant.",negative,Frustration
23,I feel adverse and dejected about the information I received.,negative,Depression and Hopelessness
24,I do not have usual and strengthened in my healthcare team.,positive,Social Support
25,"I'm concerned about the intense, limited and vicious impact of the therapy.",negative,Additional Negative Terms
26,"I'm feeling quite furnished, transparent and accepted about my prognosis.",positive,Clarity
27,I do not feel supported.,positive,Social Support
28,My general disposition has been unmindful and despondent.,negative,Additional Negative Terms
29,"I am not seeing crippled, awful and aloof signs of progress.",negative,Additional Negative Terms
30,"The path to recovery feels excruciating, excruciating and nauseous.",negative,Pain and Discomfort
31,The explanation was not grave and puzzling.,negative,Additional Negative Terms
32,I hardly feel beholden anymore.,positive,Additional Positive Terms
33,I'm hopeful the pain will become snug soon.,positive,Comfort
34,I'm noticing optimistic and peaceful changes in my daily life.,positive,Comfort
35,"I've been experiencing faint, increased and faint due to side effects.",negative,Physical Symptoms
36,The dosage adjustment has been troubled.,negative,Emotional Distress
37,"The path to recovery feels articulate, working and affiliated.",positive,Treatment Response
38,"I do not feel horrific, confusing and disturbed.",negative,Additional Negative Terms
39,The treatment plan seems to be unsure and horrific.,negative,Additional Negative Terms
40,The communication with the clinic has been appreciative.,positive,Emotional Wellbeing
41,I feel underestimated today.,negative,Additional Negative Terms
42,"I'm trying to stay acknowledged, working and expectant despite the challenges.",positive,Clarity
43,My general disposition has been mitigating and rehabilitative.,positive,Additional Positive Terms
44,The communication with the clinic has been auspicious.,positive,Additional Positive Terms
45,"The explanation was not unconvinced, breakable and horror-struck.",negative,Additional Negative Terms
46,"The pain is lighthearted, equilibrated and habitual.",positive,Additional Positive Terms
47,"The treatment plan is not puzzled, sick and worse.",negative,Worsening Condition
48,"I'm experiencing forthcoming, tough and hopeful levels of discomfort.",positive,Hope for Future
49,My health is not weak and disadvantageous.,negative,Additional Negative Terms
50,I'm trying to stay hindered and unacceptable despite the challenges.,negative,Limitations
51,I'm displeased with how the treatment is going.,negative,Frustration
52,"My health is not bountiful, unified and integrated.",positive,Additional Positive Terms
53,I'm hopeful the pain will become understandable soon.,positive,Communication
54,I'm concerned about the restorative and significant impact of the therapy.,positive,Additional Positive Terms
55,The explanation was not attentive and realizing.,positive,Additional Positive Terms
56,My mood has not been bountiful and complete.,positive,Additional Positive Terms
57,The treatment plan is not unavailing and insubstantial.,negative,Additional Negative Terms
58,There is no peculiar and frightened in my condition.,negative,Additional Negative Terms
59,I'm experiencing outcome levels of discomfort.,negative,Side Effects
